ACTIVIDAD;PRODUCTO;AÑO;ENE;FEB;MAR;ABR;MAY;JUN;JUL;AGO;SET;OCT;NOV;DIC;TOTAL_TN
PROCESAMIENTO DEL ESPARRAGO;Esparrago en conserva;2024;93,0;39,0;95,7;143,4;252,9;132,2;383,4;290,0;389,4;230,0;610,4;0,0;2.659,4
PROCESAMIENTO DEL ESPARRAGO;Esparrago fresco;2010;5.725,7;2.908,8;4.269,1;5.255,4;4.420,1;3.483,8;3.511,9;5.102,0;12.133,0;12.957,1;8.280,5;7.950,6;75.997,9
PROCESAMIENTO DEL ESPARRAGO;Esparrago fresco;2011;4.911,3;2.735,4;2.899,5;4.545,2;4.006,2;3.713,0;5.089,8;6.522,5;9.854,3;10.193,8;8.111,4;9.406,6;71.989,1
PROCESAMIENTO DEL ESPARRAGO;Esparrago fresco;2012;4.050,1;2.621,4;3.736,9;4.295,9;4.776,9;3.640,1;3.832,3;5.930,5;10.097,1;11.346,5;8.980,7;8.096,5;71.404,8
PROCESAMIENTO DEL ESPARRAGO;Esparrago fresco;2013;4.603,2;2.575,1;2.777,5;3.671,6;5.135,5;2.447,8;3.605,5;6.701,4;12.394,1;13.106,8;10.188,5;7.863,6;75.070,6
PROCESAMIENTO DEL ESPARRAGO;Esparrago fresco;2014;4.485,0;1.821,4;3.521,8;6.491,3;5.888,6;4.100,4;4.978,0;8.021,7;12.624,9;12.141,2;8.746,7;5.837,2;78.658,2
PROCESAMIENTO DEL ESPARRAGO;Esparrago fresco;2015;3.550,9;2.399,5;2.689,6;4.583,5;3.811,5;2.920,5;5.149,5;6.485,5;12.765,6;11.182,6;8.231,1;10.872,0;74.641,8
PROCESAMIENTO DEL ESPARRAGO;Esparrago fresco;2016;4.323,8;1.957,4;2.887,9;4.237,1;4.334,3;3.970,7;4.856,9;6.755,5;12.954,3;13.276,3;9.957,8;7.234,4;76.746,5
PROCESAMIENTO DEL ESPARRAGO;Esparrago fresco;2017;5.051,8;2.553,6;1.934,9;5.259,3;3.401,2;2.478,3;2.213,4;4.226,4;7.433,5;12.833,9;9.698,5;7.985,1;65.069,8
PROCESAMIENTO DEL ESPARRAGO;Esparrago fresco;2018;4.696,9;1.400,1;3.021,3;4.757,8;5.748,7;3.748,0;4.206,4;6.108,4;9.326,5;11.618,6;10.005,0;8.854,8;73.492,6
PROCESAMIENTO DEL ESPARRAGO;Esparrago fresco;2019;4.965,8;3.800,8;3.904,2;5.285,6;5.175,1;3.646,4;3.683,8;4.742,3;10.350,8;13.052,0;8.565,1;6.981,6;74.153,4
PROCESAMIENTO DEL ESPARRAGO;Esparrago fresco;2020;5.204,9;3.753,3;998,0;1.915,1;4.532,9;1.942,4;4.804,2;5.169,8;8.781,1;10.641,7;8.737,5;4.901,6;61.382,4
PROCESAMIENTO DEL ESPARRAGO;Esparrago fresco;2021;5.788,4;1.296,1;1.515,5;5.340,0;5.537,7;3.244,8;4.062,2;5.857,1;8.695,1;9.888,6;7.502,9;7.610,1;66.338,5
PROCESAMIENTO DEL ESPARRAGO;Esparrago fresco;2022;3.518,4;1.007,1;2.877,8;5.733,4;4.328,6;2.531,6;2.665,9;4.438,6;7.053,0;7.026,5;7.163,6;5.073,0;53.417,5
PROCESAMIENTO DEL ESPARRAGO;Esparrago fresco;2023;6.437,8;2.635,6;3.605,5;3.883,1;4.080,0;1.886,6;2.501,7;2.758,4;4.020,1;4.630,1;4.547,2;4.513,4;45.499,4
PROCESAMIENTO DEL ESPARRAGO;Esparrago fresco;2024;2.518,1;1.357,7;855,3;2.322,5;1.794,6;1.281,6;1.619,2;2.332,4;3.343,8;3.352,6;4.171,5;0,0;24.949,1
