ACTIVIDAD;PRODUCTO;AÑO;ENE;FEB;MAR;ABR;MAY;JUN;JUL;AGO;SET;OCT;NOV;DIC;TOTAL_TN
PROCESAMIENTO DEL CACAO;Manteca de cacao;2024;2.395,0;1.526,5;2.150,6;1.324,7;1.620,0;1.753,7;1.855,0;1.722,4;1.620,5;1.601,3;1.662,3;0,0;19.232,0
PROCESAMIENTO DEL CACAO;Polvo de cacao;2011;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
PROCESAMIENTO DEL CACAO;Polvo de cacao;2012;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
PROCESAMIENTO DEL CACAO;Polvo de cacao;2013;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
PROCESAMIENTO DEL CACAO;Polvo de cacao;2015;0,0;0,0;50,9;166,2;345,4;0,0;419,1;378,9;333,8;310,0;412,1;187,0;2.603,3
PROCESAMIENTO DEL CACAO;Polvo de cacao;2016;381,7;462,6;465,1;233,9;163,9;461,0;520,7;435,4;412,0;454,5;495,6;597,0;5.083,3
PROCESAMIENTO DEL CACAO;Polvo de cacao;2017;501,7;359,5;368,9;183,4;499,9;487,9;635,7;707,6;715,2;874,6;770,9;332,7;6.437,9
PROCESAMIENTO DEL CACAO;Polvo de cacao;2018;599,4;240,2;645,6;601,6;419,5;559,8;779,9;715,2;748,2;572,6;810,4;681,7;7.374,1
PROCESAMIENTO DEL CACAO;Polvo de cacao;2019;849,8;545,4;687,1;638,9;346,7;528,4;498,0;706,0;935,0;769,4;783,0;755,6;8.043,2
PROCESAMIENTO DEL CACAO;Polvo de cacao;2020;823,4;768,4;520,5;615,4;717,2;694,1;746,9;530,5;784,0;1.160,1;874,3;1.270,4;9.505,1
PROCESAMIENTO DEL CACAO;Polvo de cacao;2021;791,7;913,3;1.140,5;864,9;901,7;1.118,9;950,3;1.137,6;946,8;608,0;934,6;1.023,4;11.331,7
PROCESAMIENTO DEL CACAO;Polvo de cacao;2022;894,5;933,0;850,9;709,5;734,6;980,5;1.286,4;1.444,3;1.182,7;1.132,3;758,7;592,5;11.499,8
PROCESAMIENTO DEL CACAO;Polvo de cacao;2023;638,9;769,6;843,7;810,5;285,3;639,7;860,8;1.372,6;1.134,3;787,4;819,3;1.124,4;10.086,5
PROCESAMIENTO DEL CACAO;Polvo de cacao;2024;792,5;951,4;792,3;879,2;1.007,0;913,1;1.544,4;1.622,2;1.609,5;1.618,0;1.324,5;0,0;13.054,0
PROCESAMIENTO DEL CACAO;Torta de cacao;2010;187,9;195,1;194,4;122,6;65,1;48,2;40,0;12,1;72,1;28,1;0,0;0,0;965,6
PROCESAMIENTO DEL CACAO;Torta de cacao;2011;0,0;0,0;0,0;0,0;0,0;40,1;0,0;40,1;0,0;0,0;0,0;0,0;80,3
PROCESAMIENTO DEL CACAO;Torta de cacao;2012;11,5;8,5;0,2;0,0;0,0;0,0;0,0;0,0;0,0;0,0;20,0;47,2;87,3
PROCESAMIENTO DEL CACAO;Torta de cacao;2013;218,2;0,0;0,0;0,0;200,6;32,0;219,5;51,8;20,0;20,5;204,0;409,9;1.376,5
PROCESAMIENTO DEL CACAO;Torta de cacao;2014;393,2;122,7;102,8;159,7;70,6;0,0;152,7;330,5;371,8;379,3;510,2;180,5;2.773,9
PROCESAMIENTO DEL CACAO;Torta de cacao;2015;0,0;260,0;102,2;210,4;455,2;631,2;901,6;787,5;637,1;547,9;504,5;705,8;5.743,4
PROCESAMIENTO DEL CACAO;Torta de cacao;2016;393,3;388,3;631,4;532,2;245,3;519,5;545,1;625,0;748,9;880,6;705,2;313,3;6.528,1
PROCESAMIENTO DEL CACAO;Torta de cacao;2017;810,5;722,8;595,2;206,5;490,7;697,4;744,2;793,7;840,9;769,5;789,2;718,0;8.178,6
PROCESAMIENTO DEL CACAO;Torta de cacao;2018;824,7;798,8;740,7;692,1;759,7;667,1;703,8;951,3;477,0;1.062,6;509,2;628,7;8.815,5
PROCESAMIENTO DEL CACAO;Torta de cacao;2019;1.042,3;887,2;1.121,9;1.298,7;1.080,4;906,4;823,0;1.135,2;1.452,3;1.523,8;1.621,5;332,5;13.225,3
PROCESAMIENTO DEL CACAO;Torta de cacao;2020;1.063,9;863,6;475,3;513,8;593,2;889,8;1.341,7;1.057,3;1.358,2;1.051,7;1.002,2;1.070,0;11.280,5
PROCESAMIENTO DEL CACAO;Torta de cacao;2021;700,4;836,7;1.178,1;1.028,5;1.221,2;1.215,8;982,3;1.075,4;1.293,3;1.496,2;1.203,2;1.266,2;13.497,2
PROCESAMIENTO DEL CACAO;Torta de cacao;2022;1.034,3;1.927,7;1.989,8;1.273,2;1.885,3;828,2;1.918,1;1.818,7;1.127,9;1.360,9;1.256,5;931,8;17.352,3
PROCESAMIENTO DEL CACAO;Torta de cacao;2023;1.075,9;1.211,6;926,5;1.028,5;871,4;1.156,6;1.402,3;1.299,2;1.256,9;1.453,6;1.343,3;1.243,7;14.269,6
PROCESAMIENTO DEL CACAO;Torta de cacao;2024;1.492,9;1.210,5;917,4;992,0;1.354,9;1.342,6;1.545,5;1.682,6;1.446,0;1.535,5;1.636,4;0,0;15.156,0
PROCESAMIENTO DEL ESPARRAGO;Esparrago congelado;2010;456,2;601,0;326,8;1.260,5;476,1;218,5;249,1;150,2;667,1;1.776,2;1.735,8;963,7;8.881,2
PROCESAMIENTO DEL ESPARRAGO;Esparrago congelado;2011;360,3;293,0;311,9;966,1;872,1;276,3;367,2;494,2;1.036,0;2.452,6;2.613,6;1.477,6;11.520,9
PROCESAMIENTO DEL ESPARRAGO;Esparrago congelado;2012;773,6;1.040,9;868,9;1.384,9;1.019,8;484,9;692,3;409,1;969,2;1.636,9;1.552,5;924,2;11.757,2
PROCESAMIENTO DEL ESPARRAGO;Esparrago congelado;2013;247,3;394,4;565,1;799,9;694,3;300,7;151,7;316,0;1.523,7;1.856,0;1.130,4;529,2;8.508,6
PROCESAMIENTO DEL ESPARRAGO;Esparrago congelado;2014;460,9;833,2;818,2;540,8;318,8;250,0;283,0;384,6;990,2;917,7;422,5;253,3;6.473,2
