ACTIVIDAD;PRODUCTO;AÑO;ENE;FEB;MAR;ABR;MAY;JUN;JUL;AGO;SET;OCT;NOV;DIC;TOTAL_TN
PROCESAMIENTO DE ALIMENTOS BALANCEADOS;Vacunos;2012;832,1;866,6;1122,9;1077,5;1050,4;1158,8;1340,9;1003,9;988,7;1001,9;1020,5;1035,3;12499,3
PROCESAMIENTO DE ALIMENTOS BALANCEADOS;Vacunos;2013;817,2;817,9;794,3;739,2;1011,1;1010,4;871,3;1030,7;840,4;1108,8;792,6;885,7;10719,6
PROCESAMIENTO DE ALIMENTOS BALANCEADOS;Vacunos;2014;904,0;880,8;917,5;1023,6;1162,6;1244,2;1140,7;1130,4;1159,6;1192,2;1078,9;1189,5;13024,3
PROCESAMIENTO DE ALIMENTOS BALANCEADOS;Vacunos;2015;1158,2;1022,3;1020,0;1018,1;1103,4;1405,5;1349,1;1503,6;1500,7;1273,3;1269,7;1153,8;14777,6
PROCESAMIENTO DE ALIMENTOS BALANCEADOS;Vacunos;2016;1187,1;1047,7;1151,9;1217,0;924,8;1196,9;1218,3;1181,8;1167,1;1257,9;1111,8;1146,6;13809,1
PROCESAMIENTO DE ALIMENTOS BALANCEADOS;Vacunos;2017;1143,6;1126,8;1062,0;1096,0;1128,9;1150,5;1178,6;1196,3;1247,9;1399,3;1360,4;1352,9;14443,1
PROCESAMIENTO DE ALIMENTOS BALANCEADOS;Vacunos;2018;1818,4;1367,2;1395,5;1418,7;1452,9;1518,6;1496,9;1440,9;1496,8;1507,6;1495,8;1467,3;17876,6
PROCESAMIENTO DE ALIMENTOS BALANCEADOS;Vacunos;2019;1192,7;1187,6;1101,5;1170,3;1092,2;1195,5;1153,5;1250,8;1334,3;1219,4;1154,2;1280,3;14332,3
PROCESAMIENTO DE ALIMENTOS BALANCEADOS;Vacunos;2020;1266,3;1384,8;1206,8;1230,1;1288,0;1316,6;1286,4;1357,3;1334,9;1368,1;1426,3;1616,8;16082,5
PROCESAMIENTO DE ALIMENTOS BALANCEADOS;Vacunos;2021;1480,4;1310,2;1374,4;1387,2;1365,8;1484,1;1462,4;1516,1;1476,5;1482,9;1530,1;1614,5;17484,5
